             fd      pos chr
1  2.277175e-04  8141926   1
2  3.527799e-04  8137911   1
3  3.527799e-04  8137932   1
4  3.641079e-04  8141981   1
5  3.650902e-04  8137761   1
6  4.186624e-04  8844971   1
7  4.186624e-04  8844981   1
8  4.186624e-04  8844997   1
9  4.186624e-04  8845016   1
10 4.186624e-04  8845117   1
11 3.254826e-05  6649171   2
12 3.254826e-05  6649178   2
13 3.254826e-05  6649196   2
14 3.254826e-05  6649215   2
15 3.254826e-05  6649218   2
16 3.254826e-05  6649291   2
17 3.254826e-05  6649405   2
18 3.254826e-05  6649420   2
19 3.254826e-05  6649421   2
20 3.254826e-05  6649443   2
21 5.978574e-05 23212978   3
22 6.639344e-05 23213051   3
23 6.978204e-05  6192472   3
24 6.978204e-05  6192490   3
25 8.231688e-05 23213107   3
26 8.231688e-05 23213142   3
27 8.302760e-05  6192499   3
28 8.806272e-05  6192686   3
29 8.986768e-05 23213029   3
30 9.745764e-05  6787091   3
31 5.641118e-05  7451033   5
32 5.641118e-05  7451036   5
33 5.641118e-05  7451049   5
34 5.641118e-05  7451093   5
35 5.650500e-05  7451109   5
36 8.020060e-05  7451144   5
37 8.020060e-05  7451150   5
38 8.020060e-05  7451154   5
39 1.167865e-04  7481594   5
40 1.465410e-04  7451161   5
